date,AAPL,MSFT,GOOGL,META,NVDA
2020-01-02 00:00:00-05:00,2744.3831508291596,1299.2227877840626,2929.760690686076,956.2502662897851,33483.321461213534
2020-01-03 00:00:00-05:00,2713.9595671117704,1288.371152658423,2884.202496341749,941.4372165369565,33323.59654680318
2020-01-06 00:00:00-05:00,2692.4777474041484,1285.0358871712447,2809.293035626303,924.0245453460009,33184.08253934037
2020-01-07 00:00:00-05:00,2705.1647118856863,1296.843552066935,2814.69315289351,922.0176810600843,32786.717543497114
2020-01-08 00:00:00-05:00,2662.323345237558,1276.5043908149455,2794.7861142948245,912.7592463799789,32725.168994258947
2020-01-09 00:00:00-05:00,2606.9238591505296,1260.7415334259913,2765.724647634858,899.8722296767531,32369.340212674037
2020-01-10 00:00:00-05:00,2601.0083509710157,1266.5845001058103,2747.9380070234,900.8502818120288,32196.662648710873
2020-01-13 00:00:00-05:00,2546.59293252433,1251.5315657584886,2726.8048173383545,885.2182461680687,31217.81380989067
2020-01-14 00:00:00-05:00,2581.399491041275,1260.3831839818386,2744.742680721034,896.7169310343909,31810.515295975176
2020-01-15 00:00:00-05:00,2592.4805787623604,1252.2590217755087,2728.291582191108,888.2324160470854,32031.66317468319
2020-01-16 00:00:00-05:00,2560.393227837072,1229.7196071116725,2707.6563598559637,885.7442138860124,31599.134388189483
2020-01-17 00:00:00-05:00,2532.329853110185,1222.8624641731192,2653.8970975037482,884.2595449154644,31554.432048815645
2020-01-21 00:00:00-05:00,2549.588709517928,1227.259697111872,2648.988169776161,887.0477594882241,31724.717694378236
2020-01-22 00:00:00-05:00,2540.5120098337884,1233.1806385721727,2646.0876109017854,887.5258725293484,31449.36786881829
2020-01-23 00:00:00-05:00,2528.3284965027487,1225.6322086070957,2644.618223340574,893.8233475677799,31107.244810791857
2020-01-24 00:00:00-05:00,2535.623301119443,1238.102298866848,2678.010085701204,901.2830157940712,31402.661718091687
2020-01-27 00:00:00-05:00,2612.422714789261,1259.1497246114156,2742.4078968976514,914.1532202992855,32746.355313600514
2020-01-28 00:00:00-05:00,2540.4716012755594,1234.9109412523496,2706.8350201743683,901.8684539051623,31719.273842722614
2020-01-29 00:00:00-05:00,2488.3216793284746,1215.920747673789,2695.2466765496547,879.8682911574889,32032.382458009106
2020-01-30 00:00:00-05:00,2491.8923614060986,1182.5438328476955,2699.7435830664217,937.3828300528727,31996.682264558516
2020-01-31 00:00:00-05:00,2607.4255237935267,1200.2211582216905,2740.113778759468,972.729080117783,33265.06783575692
2020-02-03 00:00:00-05:00,2614.4983368461535,1171.6090150071288,2647.9290377657903,961.8280419486688,32723.90748165904
2020-02-04 00:00:00-05:00,2530.8888509654953,1134.2489609973748,2716.0016809225926,935.9552970047451,31822.80868099729
2020-02-05 00:00:00-05:00,2510.323430541157,1135.5929142947143,2714.697558242186,934.6727765828236,31360.957538908144
2020-02-06 00:00:00-05:00,2481.2878901656654,1112.5207143461328,2659.6536855335257,931.3879486498204,30930.32998221071
2020-02-07 00:00:00-05:00,2515.4430191467495,1110.9317708388999,2653.9692014804214,924.8824284903772,31256.89058504741
2020-02-10 00:00:00-05:00,2503.5367492641985,1082.6073205739274,2601.969554203374,921.7079160521442,29904.067909375382
2020-02-11 00:00:00-05:00,2518.6663414982536,1107.582948612053,2599.4891305753113,947.796202806793,29354.087502172853
2020-02-12 00:00:00-05:00,2460.1993376693895,1105.944720145829,2584.7750565529623,931.7258639311568,28852.76314209907
2020-02-13 00:00:00-05:00,2477.8100545012,1111.9494755768762,2593.6886544460403,921.3091184040562,29039.89415419135
2020-02-14 00:00:00-05:00,2477.1858881874455,1102.1045696622657,2584.554369150188,916.8302193628388,27134.74386214567
2020-02-18 00:00:00-05:00,2523.3091585292505,1091.0032520675052,2583.263752681374,901.5629239752255,26513.557450765253
2020-02-19 00:00:00-05:00,2487.2506660252825,1087.7249353884963,2574.0270785748908,902.8346944837322,24985.733249541416
2020-02-20 00:00:00-05:00,2512.96310175438,1104.5632067107367,2587.32735027259,915.0534042086827,25470.668296967022
2020-02-21 00:00:00-05:00,2571.1294742941677,1140.6071586506885,2645.775031017878,934.1980655542534,26737.507096914946
2020-02-24 00:00:00-05:00,2699.246092105938,1191.954985281987,2764.181237116367,978.1894134668484,28770.480737916445
2020-02-25 00:00:00-05:00,2793.641371753698,1211.850593108248,2830.814007885911,997.7403603613301,30000.853044974163
2020-02-26 00:00:00-05:00,2749.9210875206777,1196.854527174844,2822.2679194487305,995.5303919176627,29372.13101286643
2020-02-27 00:00:00-05:00,2942.218036656394,1287.5616114294305,2984.322527090542,1034.6054949350544,31103.18282934737
2020-02-28 00:00:00-05:00,2943.6305612942656,1256.9910180014017,2929.8652892865043,1019.8771644350037,29088.153469827557
2020-03-02 00:00:00-05:00,2692.807521775167,1178.5213923386204,2830.2707720620206,999.2246807785001,28417.740207545983
2020-03-03 00:00:00-05:00,2780.8752360402545,1237.722188420436,2932.8218763091695,1055.8360088781114,29541.468766675116
2020-03-04 00:00:00-05:00,2657.4340068642487,1193.812702919708,2839.4943936480267,1023.4507381895535,27606.35131033224
2020-03-05 00:00:00-05:00,2746.3261570053323,1224.4551713851984,2983.6355578410535,1059.7982772856305,28737.67777475383
2020-03-06 00:00:00-05:00,2783.1454764070663,1260.008948749091,3027.2759547448645,1083.6200827289442,29519.312084123903
2020-03-09 00:00:00-04:00,3022.10374916762,1351.579036249816,3226.2719373963555,1157.687671176853,31996.12210908946
2020-03-10 00:00:00-04:00,2818.658679364754,1264.8842983117042,3075.5879254481165,1101.0688803071184,30075.014226807365
