date,pnl,portfolio_value,transaction_cost,cash
2020-01-02 00:00:00-05:00,-20700.016209275404,979299.9837907245,20700.016209275404,-20700.01620927546
2020-01-03 00:00:00-05:00,-10.420911723171155,979289.5628790014,10.42091172328757,-10.420911723282188
2020-01-06 00:00:00-05:00,-12.692968513457474,979276.8699104879,12.69296851357389,-12.692968513583764
2020-01-07 00:00:00-05:00,-5.112400446839182,979271.7575100411,5.112400446955597,-5.112400446902029
2020-01-08 00:00:00-05:00,-9.585587962664912,979262.1719220785,9.585587962781327,-9.585587962763384
2020-01-09 00:00:00-05:00,-13.544139314023592,979248.6277827645,13.544139314140008,-13.544139314093627
2020-01-10 00:00:00-05:00,-3.09274990859738,979245.5350328559,3.09274990859738,-3.092749908566475
2020-01-13 00:00:00-05:00,-19.8642854756972,979225.6707473802,19.864285475813617,-19.864285475807264
2020-01-14 00:00:00-05:00,-11.032036104224984,979214.638711276,11.0320361043414,-11.032036104355939
2020-01-15 00:00:00-05:00,-5.46169174892465,979209.1770195271,5.46169174892465,-5.461691748932935
2020-01-16 00:00:00-05:00,-10.399584877757391,979198.7774346493,10.399584877873806,-10.39958487788681
2020-01-17 00:00:00-05:00,-7.673149043635437,979191.1042856057,7.673149043751852,-7.6731490436941385
2020-01-21 00:00:00-05:00,-3.2264609514252767,979187.8778246543,3.226460951541692,-3.226460951496847
2020-01-22 00:00:00-05:00,-3.0094206356523086,979184.8684040187,3.009420635768724,-3.009420635760762
2020-01-23 00:00:00-05:00,-4.944582667093396,979179.9238213516,4.944582667209811,-4.944582667201757
2020-01-24 00:00:00-05:00,-7.527830537011467,979172.3959908145,7.527830537127882,-7.52783053717576
2020-01-27 00:00:00-05:00,-30.81369258200307,979141.5822982326,30.81369258200307,-30.813692581956275
2020-01-28 00:00:00-05:00,-24.62853912176042,979116.9537591109,24.628539121876834,-24.62853912182618
2020-01-29 00:00:00-05:00,-15.824761036198925,979101.1289980747,15.824761036198925,-15.82476103620138
2020-01-30 00:00:00-05:00,-30.370615351443,979070.7583827232,30.370615351443,-30.3706153514795
2020-01-31 00:00:00-05:00,-40.14833698892659,979030.6100457343,40.148336989043,-40.148336988990195
2020-02-03 00:00:00-05:00,-20.812398537371926,979009.7976471969,20.812398537371926,-20.812398537411354
2020-02-04 00:00:00-05:00,-36.902985176017836,978972.8946620208,36.90298517613425,-36.90298517618794
2020-02-05 00:00:00-05:00,-4.659529607686803,978968.2351324131,4.659529607686803,-4.659529607743025
2020-02-06 00:00:00-05:00,-14.280582844633766,978953.9545495685,14.280582844633766,-14.280582844628952
2020-02-07 00:00:00-05:00,-6.086689273996104,978947.8678602945,6.086689274112519,-6.086689274059609
2020-02-10 00:00:00-05:00,-25.78090425786798,978922.0869560366,25.780904257984396,-25.78090425801929
2020-02-11 00:00:00-05:00,-16.725151922370998,978905.3618041143,16.725151922254582,-16.72515192220453
2020-02-12 00:00:00-05:00,-13.58001611479255,978891.7817879996,13.580016114908965,-13.58001611486543
2020-02-13 00:00:00-05:00,-5.617481844781169,978886.1643061548,5.6174818448975845,-5.617481844848953
2020-02-14 00:00:00-05:00,-31.37427788264047,978854.7900282722,31.37427788264047,-31.37427788262721
2020-02-18 00:00:00-05:00,-14.380394718617472,978840.4096335536,14.380394718617472,-14.38039471860975
